"","Geo_FIPS","MAJORITY","AADT","TC","Percentage.of.below.18","Percentage.of.above.65","Percentage.of.non.white.pop","Percentage.of.less.than.HS","Percentage.of.unemployment","MHI","Population.Density..Per.Sq..Mile.","PM2.5","Traffic"
"498",6037208710,24,0,0,0.17,0.12,0.85,0.1,0.05,69656,73847.65,12.20870236,937.2028127
"499",6037208720,24,0,0,0.22,0.06,0.46,0.43,0.09,32727,67903.55,12.20870236,699.2034601
"500",6037208801,23,0,0,0.16,0.19,0.62,0.36,0.01,33211,33468.78,12.20870236,942.6264761
"501",6037208802,24,0,0,0.2,0.13,0.63,0.24,0.1,34079,37583.27,12.20870236,766.5039872
"502",6037208902,24,0,0,0.25,0.04,0.6,0.73,0.07,34568,37882.56,12.23163332,812.3132908
"503",6037208903,24,0,0,0.23,0.08,0.54,0.62,0.07,31731,70648.75,12.20870236,1030.418777
"504",6037208904,24,0,0,0.26,0.13,0.61,0.65,0.06,27250,91904.66,12.23163332,1057.477914
"505",6037209103,24,0,0,0.31,0.06,0.55,0.63,0.08,29509,76833.98,12.35408718,754.3126004
"506",6037209104,24,0,0,0.28,0.06,0.6,0.5,0.06,30078,94776.43,12.35408718,1335.861452
"507",6037209300,24,1,0,0.23,0.07,0.65,0.43,0.04,30092,41304.18,12.2587974,2127.417903
"508",6037209401,24,0,0,0.25,0.11,0.56,0.46,0.06,30926,53705.89,12.17561826,826.539592
"509",6037209402,24,0,0,0.27,0.06,0.57,0.71,0.08,32879,75341.3,12.23163332,906.5086736
"510",6037209403,24,0,0,0.22,0.15,0.61,0.48,0.1,27188,77737.69,12.23163332,757.4418663
"511",6037209510,24,0,0,0.24,0.1,0.66,0.48,0.08,30722,43657.54,12.17561826,1194.398891
"512",6037209520,24,0,0,0.27,0.08,0.48,0.54,0.12,33168,31336.69,12.23163332,1018.64937
"513",6037209810,24,0,0,0.18,0.21,0.58,0.5,0.12,30373,44840.64,12.18410918,1286.450026
"514",6037209820,24,0,0,0.34,0.05,0.58,0.56,0.12,31289,44437.31,12.18410918,897.1774445
"515",6037210010,24,0,0,0.21,0.14,0.78,0.46,0.04,31712,22551.43,12.2587974,2512.857059
"516",6037211000,22,0,0,0.23,0.14,0.42,0.02,0.06,127197,4995.217,11.97046367,1052.104189
"517",6037211121,24,0,0,0.17,0.11,0.66,0.14,0.04,48846,27277.56,12.19449024,1830.797472
"518",6037211122,24,0,0,0.21,0.07,0.67,0.2,0,50175,22410.18,12.12349272,1068.850299
"519",6037211201,24,0,0,0.16,0.1,0.66,0.38,0.04,44353,47611.37,12.10279177,890.981226
"520",6037211202,24,0,0,0.17,0.1,0.59,0.32,0.03,41280,32366,12.10279177,1008.237278
"521",6037211310,24,0,0,0.26,0.09,0.7,0.45,0.04,42637,69684.56,12.08514397,939.3403931
"522",6037211320,24,0,0,0.24,0.07,0.66,0.31,0.07,31250,46398.76,12.12349272,1023.330182
"523",6037211410,24,0,0,0.18,0.09,0.76,0.23,0.06,43011,26168.35,12.04695849,1447.6681
"524",6037211420,23,0,0,0.2,0.09,0.68,0.24,0.02,44330,24284,12.04695849,1085.19331
"525",6037211500,23,0,0,0.17,0.15,0.69,0.16,0.06,66042,11895.23,11.95832752,1200.529383
"526",6037211701,22,0,0,0.19,0.18,0.62,0.05,0.07,75469,10319.91,12.02897507,1228.334104
"527",6037211703,24,0,0,0.17,0.1,0.65,0.2,0.03,52352,68101.68,12.02897507,1308.008361
"528",6037211704,24,0,0,0.11,0.19,0.75,0.14,0.08,43462,39155.46,12.02897507,1248.867438
"529",6037211802,24,0,0,0.19,0.15,0.75,0.21,0.02,43720,37264.07,12.08514397,1130.542609
"530",6037211803,24,0,0,0.18,0.05,0.84,0.07,0.04,53301,68699.8,12.08514397,1102.203936
"531",6037211804,24,0,0,0.15,0.15,0.86,0.1,0.05,41635,44861.48,12.08514397,1426.912014
"532",6037211910,24,0,0,0.18,0.06,0.57,0.29,0.08,46941,82055.27,12.08514397,1122.389403
"533",6037211921,24,0,0,0.19,0.07,0.79,0.34,0,35993,70461.98,12.12349272,1404.191128
"534",6037211922,24,0,0,0.2,0.05,0.72,0.21,0.03,49554,91144.34,12.12349272,1566.875575
"535",6037212101,24,0,0,0.14,0.11,0.76,0.2,0.02,51370,44430.46,12.12928682,1176.931266
"536",6037212102,24,0,0,0.18,0.27,0.8,0.2,0.04,27167,42794.75,12.10099038,1134.447959
"537",6037212202,24,0,0,0.22,0.09,0.68,0.43,0.1,39229,42950.09,12.17561826,999.2646649
"538",6037212203,24,0,0,0.12,0.19,0.72,0.53,0.07,27092,70988.61,12.12928682,933.2470357
"539",6037212204,24,0,0,0.26,0.1,0.73,0.43,0.05,34196,43542.07,12.12928682,682.2628755
"540",6037212303,24,0,0,0.19,0.05,0.68,0.36,0.07,41797,63848.63,12.12928682,1029.814042
"541",6037212304,24,0,0,0.24,0.1,0.66,0.36,0.1,30265,23069.58,12.10099038,1051.655763
"542",6037212305,24,0,0,0.27,0.06,0.76,0.4,0.09,37550,72504.71,12.10099038,967.9892987
"543",6037212306,24,0,0,0.24,0.09,0.78,0.28,0.08,40590,54592.23,12.10099038,1021.965804
"544",6037212410,24,0,0,0.16,0.08,0.87,0.28,0.07,46424,71146.37,12.10099038,983.7420825
"545",6037212420,24,0,0,0.24,0.1,0.87,0.29,0.05,40809,63497.62,12.10099038,939.4414361
"546",6037212501,24,0,0,0.15,0.11,0.65,0.26,0.04,39093,63126,12.09098712,865.4691579
"547",6037212502,24,0,0,0.11,0.14,0.8,0.22,0.03,47731,25528.76,12.09098712,1206.337817
"548",6037212610,24,0,0,0.17,0.13,0.8,0.16,0.04,43608,32248.31,12.09098712,1175.247802
"549",6037212620,24,0,0,0.17,0.11,0.81,0.21,0.04,43212,36675.49,12.09098712,1153.567822
"550",6037212701,23,0,0,0.16,0.24,0.8,0.21,0.05,47000,12552.38,12.06166379,1275.539339
