Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037101110,Census Tract 1011.10,"Census Tract 1011.10, Los Angeles County, California",06,037,101110,,14000US06037101110,0.2,0.17,0.22,0.15,0.07,63534,9710.18
06037101122,Census Tract 1011.22,"Census Tract 1011.22, Los Angeles County, California",06,037,101122,,14000US06037101122,0.13,0.2,0.12,0.06,0.05,90389,3335.385
06037101210,Census Tract 1012.10,"Census Tract 1012.10, Los Angeles County, California",06,037,101210,,14000US06037101210,0.23,0.1,0.27,0.16,0.05,44083,25263.42
06037101220,Census Tract 1012.20,"Census Tract 1012.20, Los Angeles County, California",06,037,101220,,14000US06037101220,0.2,0.16,0.29,0.2,0.1,43713,13719.17
06037101300,Census Tract 1013,"Census Tract 1013, Los Angeles County, California",06,037,101300,,14000US06037101300,0.11,0.24,0.14,0.1,0.04,81776,3897.202
06037101400,Census Tract 1014,"Census Tract 1014, Los Angeles County, California",06,037,101400,,14000US06037101400,0.15,0.19,0.23,0.09,0.06,75139,1419.35
06037102103,Census Tract 1021.03,"Census Tract 1021.03, Los Angeles County, California",06,037,102103,,14000US06037102103,0.16,0.15,0.23,0.05,0.09,76833,3848.471
06037102104,Census Tract 1021.04,"Census Tract 1021.04, Los Angeles County, California",06,037,102104,,14000US06037102104,0.15,0.2,0.2,0.1,0.1,80789,5810.727
06037102105,Census Tract 1021.05,"Census Tract 1021.05, Los Angeles County, California",06,037,102105,,14000US06037102105,0.17,0.1,0.34,0.2,0.06,57614,10012.82
06037102107,Census Tract 1021.07,"Census Tract 1021.07, Los Angeles County, California",06,037,102107,,14000US06037102107,0.16,0.16,0.23,0.1,0.06,109375,872.5884
06037103101,Census Tract 1031.01,"Census Tract 1031.01, Los Angeles County, California",06,037,103101,,14000US06037103101,0.19,0.15,0.18,0.13,0.04,99875,3098.075
06037103102,Census Tract 1031.02,"Census Tract 1031.02, Los Angeles County, California",06,037,103102,,14000US06037103102,0.16,0.17,0.26,0.19,0.05,75276,9879.707
06037103200,Census Tract 1032,"Census Tract 1032, Los Angeles County, California",06,037,103200,,14000US06037103200,0.17,0.23,0.13,0.13,0.05,84286,2217.766
06037103300,Census Tract 1033,"Census Tract 1033, Los Angeles County, California",06,037,103300,,14000US06037103300,0.19,0.19,0.17,0.03,0.04,105909,1594.402
06037103400,Census Tract 1034,"Census Tract 1034, Los Angeles County, California",06,037,103400,,14000US06037103400,0.11,0.19,0.28,0.12,0.05,89926,6644.944
06037104103,Census Tract 1041.03,"Census Tract 1041.03, Los Angeles County, California",06,037,104103,,14000US06037104103,0.2,0.13,0.31,0.26,0,97543,9362.728
06037104105,Census Tract 1041.05,"Census Tract 1041.05, Los Angeles County, California",06,037,104105,,14000US06037104105,0.24,0.09,0.46,0.37,0.07,54960,26817.63
06037104108,Census Tract 1041.08,"Census Tract 1041.08, Los Angeles County, California",06,037,104108,,14000US06037104108,0.27,0.1,0.41,0.39,0.07,51875,14173
06037104124,Census Tract 1041.24,"Census Tract 1041.24, Los Angeles County, California",06,037,104124,,14000US06037104124,0.22,0.14,0.35,0.18,0.05,77885,2240.531
06037104201,Census Tract 1042.01,"Census Tract 1042.01, Los Angeles County, California",06,037,104201,,14000US06037104201,0.24,0.11,0.38,0.43,0.05,60129,10855.54
06037104203,Census Tract 1042.03,"Census Tract 1042.03, Los Angeles County, California",06,037,104203,,14000US06037104203,0.28,0.07,0.42,0.45,0.05,49609,19904.44
06037104204,Census Tract 1042.04,"Census Tract 1042.04, Los Angeles County, California",06,037,104204,,14000US06037104204,0.23,0.11,0.36,0.39,0.07,59000,3576.102
06037104310,Census Tract 1043.10,"Census Tract 1043.10, Los Angeles County, California",06,037,104310,,14000US06037104310,0.32,0.09,0.39,0.46,0.05,74940,8518.715
06037104320,Census Tract 1043.20,"Census Tract 1043.20, Los Angeles County, California",06,037,104320,,14000US06037104320,0.22,0.12,0.35,0.46,0.01,56021,11307.18
06037104401,Census Tract 1044.01,"Census Tract 1044.01, Los Angeles County, California",06,037,104401,,14000US06037104401,0.25,0.11,0.34,0.45,0.06,69000,12434.37
06037104403,Census Tract 1044.03,"Census Tract 1044.03, Los Angeles County, California",06,037,104403,,14000US06037104403,0.23,0.13,0.39,0.36,0.07,60804,12485.01
06037104404,Census Tract 1044.04,"Census Tract 1044.04, Los Angeles County, California",06,037,104404,,14000US06037104404,0.3,0.08,0.4,0.48,0.07,56974,14802.13
06037104500,Census Tract 1045,"Census Tract 1045, Los Angeles County, California",06,037,104500,,14000US06037104500,0.21,0.12,0.47,0.49,0.03,64229,14754.58
06037104610,Census Tract 1046.10,"Census Tract 1046.10, Los Angeles County, California",06,037,104610,,14000US06037104610,0.25,0.1,0.43,0.5,0.02,61359,14810.23
06037104620,Census Tract 1046.20,"Census Tract 1046.20, Los Angeles County, California",06,037,104620,,14000US06037104620,0.21,0.1,0.47,0.51,0.05,64648,17202.52
06037104701,Census Tract 1047.01,"Census Tract 1047.01, Los Angeles County, California",06,037,104701,,14000US06037104701,0.34,0.07,0.35,0.6,0.11,35357,20710.34
06037104703,Census Tract 1047.03,"Census Tract 1047.03, Los Angeles County, California",06,037,104703,,14000US06037104703,0.35,0.06,0.35,0.5,0.06,41875,4818.29
06037104704,Census Tract 1047.04,"Census Tract 1047.04, Los Angeles County, California",06,037,104704,,14000US06037104704,0.33,0.1,0.42,0.27,0.04,43338,6730.944
06037104810,Census Tract 1048.10,"Census Tract 1048.10, Los Angeles County, California",06,037,104810,,14000US06037104810,0.24,0.1,0.3,0.55,0.07,74149,12982.67
06037104821,Census Tract 1048.21,"Census Tract 1048.21, Los Angeles County, California",06,037,104821,,14000US06037104821,0.27,0.08,0.43,0.38,0.06,70231,17294.12
06037104822,Census Tract 1048.22,"Census Tract 1048.22, Los Angeles County, California",06,037,104822,,14000US06037104822,0.28,0.09,0.35,0.54,0.06,60515,12166.71
06037106010,Census Tract 1060.10,"Census Tract 1060.10, Los Angeles County, California",06,037,106010,,14000US06037106010,0.23,0.16,0.24,0.16,0.03,89946,3181.671
06037106020,Census Tract 1060.20,"Census Tract 1060.20, Los Angeles County, California",06,037,106020,,14000US06037106020,0.17,0.15,0.18,0.26,0.06,79703,6981.294
06037106111,Census Tract 1061.11,"Census Tract 1061.11, Los Angeles County, California",06,037,106111,,14000US06037106111,0.19,0.15,0.35,0.16,0.02,95288,2846.323
06037106112,Census Tract 1061.12,"Census Tract 1061.12, Los Angeles County, California",06,037,106112,,14000US06037106112,0.26,0.12,0.29,0.19,0.02,95625,4509.321
06037106113,Census Tract 1061.13,"Census Tract 1061.13, Los Angeles County, California",06,037,106113,,14000US06037106113,0.23,0.15,0.25,0.25,0.05,96667,6633.482
06037106114,Census Tract 1061.14,"Census Tract 1061.14, Los Angeles County, California",06,037,106114,,14000US06037106114,0.32,0.08,0.24,0.38,0.06,58194,16188.21
06037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",06,037,106403,,14000US06037106403,0.26,0.12,0.17,0.51,0.04,72604,8590.004
06037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",06,037,106405,,14000US06037106405,0.27,0.1,0.31,0.38,0.05,59352,10517.03
06037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",06,037,106406,,14000US06037106406,0.23,0.15,0.22,0.28,0.02,85115,7249.902
06037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",06,037,106407,,14000US06037106407,0.3,0.13,0.28,0.42,0.1,34327,34799.31
06037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",06,037,106408,,14000US06037106408,0.3,0.05,0.26,0.25,0.03,60199,41461.06
06037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",06,037,106510,,14000US06037106510,0.29,0.11,0.27,0.21,0.02,85521,2548.757
06037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",06,037,106520,,14000US06037106520,0.23,0.13,0.15,0.35,0.02,63924,6950.838
06037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",06,037,106603,,14000US06037106603,0.19,0.23,0.34,0.08,0.03,112404,534.1554
06037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",06,037,106604,,14000US06037106604,0.28,0.17,0.17,0.36,0.03,60350,5026.131
06037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",06,037,106641,,14000US06037106641,0.2,0.21,0.29,0.09,0.05,110357,5410.383
06037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",06,037,106642,,14000US06037106642,0.22,0.22,0.35,0.05,0.05,109063,4861.171
06037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",06,037,106643,,14000US06037106643,0.18,0.2,0.33,0.09,0.08,164125,2732.09
06037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",06,037,106645,,14000US06037106645,0.2,0.21,0.25,0.07,0.07,113940,3739.601
06037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",06,037,106646,,14000US06037106646,0.18,0.22,0.4,0.1,0.08,110734,5545.915
06037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",06,037,106648,,14000US06037106648,0.3,0.09,0.25,0.42,0.02,68426,14848.87
06037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",06,037,106649,,14000US06037106649,0.24,0.13,0.4,0.26,0.02,87039,6194.044
06037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",06,037,107010,,14000US06037107010,0.25,0.08,0.26,0.39,0.09,69934,11881.84
06037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",06,037,107020,,14000US06037107020,0.3,0.07,0.25,0.32,0.02,84289,13842.87
06037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",06,037,108101,,14000US06037108101,0.16,0.26,0.34,0.1,0.05,121563,5340.001
06037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",06,037,108102,,14000US06037108102,0.19,0.24,0.42,0.08,0.07,100938,4212.643
06037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",06,037,108103,,14000US06037108103,0.14,0.26,0.36,0.06,0.01,146932,3129.274
06037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",06,037,108104,,14000US06037108104,0.25,0.18,0.49,0.05,0.02,152321,5756.783
06037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",06,037,108201,,14000US06037108201,0.21,0.19,0.61,0.04,0.04,129688,5041.303
06037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",06,037,108202,,14000US06037108202,0.25,0.21,0.61,0.07,0.05,97188,3233.558
06037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",06,037,109100,,14000US06037109100,0.2,0.25,0.39,0.23,0.05,67750,2677.181
06037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",06,037,109200,,14000US06037109200,0.22,0.1,0.41,0.08,0.03,117857,6187.125
06037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",06,037,109300,,14000US06037109300,0.16,0.17,0.39,0.09,0.09,86316,6221.414
06037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",06,037,109400,,14000US06037109400,0.2,0.14,0.58,0.23,0.03,82215,7831.169
06037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",06,037,109500,,14000US06037109500,0.31,0.13,0.4,0.46,0.07,33387,10476.32
06037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",06,037,109601,,14000US06037109601,0.22,0.14,0.56,0.2,0.08,93778,5783.176
06037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",06,037,109603,,14000US06037109603,0.21,0.15,0.6,0.24,0.08,56970,11141.58
06037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",06,037,109604,,14000US06037109604,0.22,0.11,0.54,0.11,0.08,92500,7043.313
06037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",06,037,109700,,14000US06037109700,0.21,0.14,0.43,0.09,0.07,101709,7533.983
06037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",06,037,109800,,14000US06037109800,0.23,0.16,0.55,0.15,0.05,92356,10242.2
06037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",06,037,111100,,14000US06037111100,0.18,0.14,0.47,0.18,0.06,91648,7773.057
06037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",06,037,111201,,14000US06037111201,0.19,0.17,0.32,0.12,0.05,90341,4912.404
06037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",06,037,111202,,14000US06037111202,0.23,0.15,0.34,0.1,0.06,84240,7171.857
06037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",06,037,111204,,14000US06037111204,0.19,0.24,0.43,0.07,0.04,154038,4806.282
06037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",06,037,111205,,14000US06037111205,0.23,0.17,0.6,0.04,0.06,77351,8779.897
06037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",06,037,111206,,14000US06037111206,0.18,0.21,0.36,0.06,0.03,114275,4343.432
06037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",06,037,111301,,14000US06037111301,0.24,0.13,0.53,0.13,0.02,66861,9773.208
06037111302,Census Tract 1113.02,"Census Tract 1113.02, Los Angeles County, California",06,037,111302,,14000US06037111302,0.17,0.18,0.47,0.07,0.06,62865,8611.615
06037111400,Census Tract 1114,"Census Tract 1114, Los Angeles County, California",06,037,111400,,14000US06037111400,0.19,0.16,0.36,0.19,0.02,61467,12485.19
06037113101,Census Tract 1131.01,"Census Tract 1131.01, Los Angeles County, California",06,037,113101,,14000US06037113101,0.16,0.23,0.26,0.07,0.04,106000,4252.12
06037113102,Census Tract 1131.02,"Census Tract 1131.02, Los Angeles County, California",06,037,113102,,14000US06037113102,0.13,0.23,0.17,0.04,0.06,163021,2141.38
06037113211,Census Tract 1132.11,"Census Tract 1132.11, Los Angeles County, California",06,037,113211,,14000US06037113211,0.15,0.27,0.19,0.05,0.04,91094,1461.695
06037113212,Census Tract 1132.12,"Census Tract 1132.12, Los Angeles County, California",06,037,113212,,14000US06037113212,0.18,0.18,0.46,0.11,0.04,84429,9062.559
06037113213,Census Tract 1132.13,"Census Tract 1132.13, Los Angeles County, California",06,037,113213,,14000US06037113213,0.21,0.15,0.56,0.07,0.02,91544,10448.88
06037113231,Census Tract 1132.31,"Census Tract 1132.31, Los Angeles County, California",06,037,113231,,14000US06037113231,0.22,0.2,0.29,0.06,0.07,112500,1447.393
06037113232,Census Tract 1132.32,"Census Tract 1132.32, Los Angeles County, California",06,037,113232,,14000US06037113232,0.2,0.24,0.3,0.07,0.01,113079,5409.853
06037113233,Census Tract 1132.33,"Census Tract 1132.33, Los Angeles County, California",06,037,113233,,14000US06037113233,0.19,0.11,0.58,0.17,0.06,46474,16629.82
06037113234,Census Tract 1132.34,"Census Tract 1132.34, Los Angeles County, California",06,037,113234,,14000US06037113234,0.27,0.15,0.53,0.25,0.02,59598,12331.25
06037113235,Census Tract 1132.35,"Census Tract 1132.35, Los Angeles County, California",06,037,113235,,14000US06037113235,0.23,0.14,0.4,0.06,0.05,89792,3295.191
06037113237,Census Tract 1132.37,"Census Tract 1132.37, Los Angeles County, California",06,037,113237,,14000US06037113237,0.2,0.22,0.45,0.06,0.08,82024,2293.48
06037113301,Census Tract 1133.01,"Census Tract 1133.01, Los Angeles County, California",06,037,113301,,14000US06037113301,0.21,0.21,0.34,0.1,0.08,66793,4031.477
06037113303,Census Tract 1133.03,"Census Tract 1133.03, Los Angeles County, California",06,037,113303,,14000US06037113303,0.2,0.21,0.26,0.1,0.06,93656,2654.887
06037113321,Census Tract 1133.21,"Census Tract 1133.21, Los Angeles County, California",06,037,113321,,14000US06037113321,0.16,0.08,0.45,0.08,0.11,76897,15267.69
06037113322,Census Tract 1133.22,"Census Tract 1133.22, Los Angeles County, California",06,037,113322,,14000US06037113322,0.18,0.21,0.41,0.1,0.02,94983,6627.105
06037113401,Census Tract 1134.01,"Census Tract 1134.01, Los Angeles County, California",06,037,113401,,14000US06037113401,0.18,0.16,0.6,0.15,0.03,86101,6919.165
06037113421,Census Tract 1134.21,"Census Tract 1134.21, Los Angeles County, California",06,037,113421,,14000US06037113421,0.23,0.1,0.69,0.18,0.05,65060,8110.2
06037113422,Census Tract 1134.22,"Census Tract 1134.22, Los Angeles County, California",06,037,113422,,14000US06037113422,0.18,0.14,0.41,0.16,0.05,75109,10727.08
06037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",06,037,115101,,14000US06037115101,0.19,0.22,0.39,0.06,0.03,141711,3390.941
06037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",06,037,115103,,14000US06037115103,0.03,0,0.51,0,0.22,43958,5766.118
06037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",06,037,115104,,14000US06037115104,0.11,0.11,0.52,0.12,0.07,54861,11112.11
06037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",06,037,115201,,14000US06037115201,0.11,0.11,0.39,0.1,0.04,65208,12595.89
06037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",06,037,115202,,14000US06037115202,0.13,0.1,0.52,0.09,0.02,65125,8472.728
06037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",06,037,115301,,14000US06037115301,0.2,0.22,0.39,0.09,0.04,94279,7224.821
06037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",06,037,115302,,14000US06037115302,0.24,0.1,0.5,0.32,0.03,45549,12303.47
06037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",06,037,115401,,14000US06037115401,0.25,0.1,0.41,0.19,0.04,71646,8663.804
06037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",06,037,115403,,14000US06037115403,0.23,0.11,0.59,0.23,0.03,54407,13186.53
06037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",06,037,115404,,14000US06037115404,0.17,0.11,0.56,0.21,0.04,66136,7661.092
06037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",06,037,117101,,14000US06037117101,0.22,0.05,0.83,0.14,0.06,90750,17530.28
06037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",06,037,117102,,14000US06037117102,0.2,0.13,0.44,0.24,0.05,69500,7175.441
06037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",06,037,117201,,14000US06037117201,0.3,0.12,0.61,0.23,0.1,61335,16982.98
06037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",06,037,117202,,14000US06037117202,0.2,0.21,0.51,0.1,0.06,100326,3759.601
06037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",06,037,117301,,14000US06037117301,0.17,0.15,0.46,0.11,0.08,97634,7603.279
06037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",06,037,117302,,14000US06037117302,0.21,0.19,0.4,0.12,0.06,102917,6600.488
06037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",06,037,117303,,14000US06037117303,0.2,0.15,0.51,0.15,0.04,83931,5399.782
06037117404,Census Tract 1174.04,"Census Tract 1174.04, Los Angeles County, California",06,037,117404,,14000US06037117404,0.18,0.11,0.52,0.13,0.05,107981,7809.634
06037117405,Census Tract 1174.05,"Census Tract 1174.05, Los Angeles County, California",06,037,117405,,14000US06037117405,0.35,0.03,0.73,0.56,0.04,36538,45862.53
06037117407,Census Tract 1174.07,"Census Tract 1174.07, Los Angeles County, California",06,037,117407,,14000US06037117407,0.39,0.03,0.81,0.57,0.07,33480,50094.76
06037117408,Census Tract 1174.08,"Census Tract 1174.08, Los Angeles County, California",06,037,117408,,14000US06037117408,0.33,0.05,0.65,0.41,0.11,36250,21138.86
06037117510,Census Tract 1175.10,"Census Tract 1175.10, Los Angeles County, California",06,037,117510,,14000US06037117510,0.33,0.07,0.66,0.38,0.02,46838,28885.24
06037117520,Census Tract 1175.20,"Census Tract 1175.20, Los Angeles County, California",06,037,117520,,14000US06037117520,0.34,0.03,0.77,0.45,0.12,36003,33557.68
06037117530,Census Tract 1175.30,"Census Tract 1175.30, Los Angeles County, California",06,037,117530,,14000US06037117530,0.29,0.06,0.72,0.41,0.09,55483,32066.53
06037119001,Census Tract 1190.01,"Census Tract 1190.01, Los Angeles County, California",06,037,119001,,14000US06037119001,0.22,0.13,0.43,0.36,0.06,85758,11298.04
06037119002,Census Tract 1190.02,"Census Tract 1190.02, Los Angeles County, California",06,037,119002,,14000US06037119002,0.23,0.12,0.39,0.4,0.06,80664,12261.07
06037119201,Census Tract 1192.01,"Census Tract 1192.01, Los Angeles County, California",06,037,119201,,14000US06037119201,0.23,0.11,0.41,0.38,0.09,91111,12430.94
06037119202,Census Tract 1192.02,"Census Tract 1192.02, Los Angeles County, California",06,037,119202,,14000US06037119202,0.22,0.12,0.5,0.45,0.04,67500,12850.88
06037119310,Census Tract 1193.10,"Census Tract 1193.10, Los Angeles County, California",06,037,119310,,14000US06037119310,0.18,0.15,0.59,0.31,0.05,47959,24900.57
06037119320,Census Tract 1193.20,"Census Tract 1193.20, Los Angeles County, California",06,037,119320,,14000US06037119320,0.25,0.08,0.78,0.35,0.07,72813,26121.48
06037119340,Census Tract 1193.40,"Census Tract 1193.40, Los Angeles County, California",06,037,119340,,14000US06037119340,0.38,0.03,0.65,0.56,0.1,30817,90411.78
06037119341,Census Tract 1193.41,"Census Tract 1193.41, Los Angeles County, California",06,037,119341,,14000US06037119341,0.2,0.15,0.71,0.31,0.11,51083,22934.57
06037119342,Census Tract 1193.42,"Census Tract 1193.42, Los Angeles County, California",06,037,119342,,14000US06037119342,0.28,0.07,0.63,0.27,0.07,58611,34411.18
06037119400,Census Tract 1194,"Census Tract 1194, Los Angeles County, California",06,037,119400,,14000US06037119400,0.22,0.11,0.47,0.42,0.06,83333,12747.23
06037119700,Census Tract 1197,"Census Tract 1197, Los Angeles County, California",06,037,119700,,14000US06037119700,0.22,0.16,0.42,0.18,0.03,81688,9874.197
06037119800,Census Tract 1198,"Census Tract 1198, Los Angeles County, California",06,037,119800,,14000US06037119800,0.18,0.11,0.4,0.32,0.06,82981,12684.62
06037119900,Census Tract 1199,"Census Tract 1199, Los Angeles County, California",06,037,119900,,14000US06037119900,0.22,0.13,0.59,0.28,0.05,78000,12910.48
06037120010,Census Tract 1200.10,"Census Tract 1200.10, Los Angeles County, California",06,037,120010,,14000US06037120010,0.21,0.1,0.68,0.34,0.09,49432,12641.8
06037120020,Census Tract 1200.20,"Census Tract 1200.20, Los Angeles County, California",06,037,120020,,14000US06037120020,0.22,0.1,0.75,0.41,0.14,37045,18654.32
06037120030,Census Tract 1200.30,"Census Tract 1200.30, Los Angeles County, California",06,037,120030,,14000US06037120030,0.27,0.1,0.74,0.51,0.06,30625,19254.16
06037120103,Census Tract 1201.03,"Census Tract 1201.03, Los Angeles County, California",06,037,120103,,14000US06037120103,0.37,0.05,0.72,0.51,0.15,26875,64566.87
06037120104,Census Tract 1201.04,"Census Tract 1201.04, Los Angeles County, California",06,037,120104,,14000US06037120104,0.23,0.08,0.71,0.25,0.05,38672,12713.47
06037120105,Census Tract 1201.05,"Census Tract 1201.05, Los Angeles County, California",06,037,120105,,14000US06037120105,0.24,0.16,0.68,0.38,0.07,33984,13313.86
06037120106,Census Tract 1201.06,"Census Tract 1201.06, Los Angeles County, California",06,037,120106,,14000US06037120106,0.31,0.06,0.66,0.41,0.11,36217,59919.82
06037120107,Census Tract 1201.07,"Census Tract 1201.07, Los Angeles County, California",06,037,120107,,14000US06037120107,0.37,0.05,0.68,0.5,0.12,30481,49805.25
06037120108,Census Tract 1201.08,"Census Tract 1201.08, Los Angeles County, California",06,037,120108,,14000US06037120108,0.26,0.08,0.61,0.43,0.09,39032,32556.83
06037120300,Census Tract 1203,"Census Tract 1203, Los Angeles County, California",06,037,120300,,14000US06037120300,0.18,0.13,0.67,0.22,0.06,70208,7893.566
06037120400,Census Tract 1204,"Census Tract 1204, Los Angeles County, California",06,037,120400,,14000US06037120400,0.22,0.11,0.59,0.22,0.11,54733,16448.9
06037121010,Census Tract 1210.10,"Census Tract 1210.10, Los Angeles County, California",06,037,121010,,14000US06037121010,0.19,0.15,0.47,0.25,0.05,62903,6621.882
06037121020,Census Tract 1210.20,"Census Tract 1210.20, Los Angeles County, California",06,037,121020,,14000US06037121020,0.19,0.1,0.34,0.28,0.09,53345,11339.65
06037121101,Census Tract 1211.01,"Census Tract 1211.01, Los Angeles County, California",06,037,121101,,14000US06037121101,0.22,0.08,0.32,0.29,0.05,59267,15696.17
06037121102,Census Tract 1211.02,"Census Tract 1211.02, Los Angeles County, California",06,037,121102,,14000US06037121102,0.2,0.18,0.14,0.31,0.04,48750,860.3215
06037121210,Census Tract 1212.10,"Census Tract 1212.10, Los Angeles County, California",06,037,121210,,14000US06037121210,0.18,0.2,0.45,0.45,0.04,67375,3794.151
06037121221,Census Tract 1212.21,"Census Tract 1212.21, Los Angeles County, California",06,037,121221,,14000US06037121221,0.2,0.12,0.32,0.32,0.09,64335,12429.47
06037121222,Census Tract 1212.22,"Census Tract 1212.22, Los Angeles County, California",06,037,121222,,14000US06037121222,0.27,0.08,0.31,0.47,0.05,55192,9970.626
06037121600,Census Tract 1216,"Census Tract 1216, Los Angeles County, California",06,037,121600,,14000US06037121600,0.16,0.18,0.41,0.17,0.04,79474,6216.426
06037121801,Census Tract 1218.01,"Census Tract 1218.01, Los Angeles County, California",06,037,121801,,14000US06037121801,0.21,0.1,0.51,0.3,0.07,42520,16675.06
06037121802,Census Tract 1218.02,"Census Tract 1218.02, Los Angeles County, California",06,037,121802,,14000US06037121802,0.22,0.12,0.43,0.29,0.07,68083,8761.391
06037121900,Census Tract 1219,"Census Tract 1219, Los Angeles County, California",06,037,121900,,14000US06037121900,0.24,0.1,0.27,0.42,0.07,54702,5772.357
06037122000,Census Tract 1220,"Census Tract 1220, Los Angeles County, California",06,037,122000,,14000US06037122000,0.17,0.16,0.33,0.27,0.09,75486,5113.709
06037122120,Census Tract 1221.20,"Census Tract 1221.20, Los Angeles County, California",06,037,122120,,14000US06037122120,0.24,0.1,0.46,0.38,0.08,61625,18030
06037122121,Census Tract 1221.21,"Census Tract 1221.21, Los Angeles County, California",06,037,122121,,14000US06037122121,0.23,0.1,0.31,0.36,0.06,53125,17785.89
06037122122,Census Tract 1221.22,"Census Tract 1221.22, Los Angeles County, California",06,037,122122,,14000US06037122122,0.28,0.1,0.31,0.53,0.06,41811,6945.463
06037122200,Census Tract 1222,"Census Tract 1222, Los Angeles County, California",06,037,122200,,14000US06037122200,0.23,0.1,0.24,0.41,0.04,54250,5270.083
06037122410,Census Tract 1224.10,"Census Tract 1224.10, Los Angeles County, California",06,037,122410,,14000US06037122410,0.25,0.09,0.4,0.35,0.1,36222,12664.34
06037122420,Census Tract 1224.20,"Census Tract 1224.20, Los Angeles County, California",06,037,122420,,14000US06037122420,0.24,0.08,0.47,0.37,0.06,44967,13518.59
06037123010,Census Tract 1230.10,"Census Tract 1230.10, Los Angeles County, California",06,037,123010,,14000US06037123010,0.3,0.09,0.23,0.41,0.02,36518,10267.16
