Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_BLKGRP,Geo_GEOID,Percentage of below 18,Percentage of above 65,Percentage of non white pop,Percentage of less than HS,Percentage of unemployment,MHI,Population Density (Per Sq. Mile)
06037482701,Census Tract 4827.01,"Census Tract 4827.01, Los Angeles County, California",06,037,482701,,14000US06037482701,0.19,0.2,0.8,0.15,0.05,74148,9107.421
06037482702,Census Tract 4827.02,"Census Tract 4827.02, Los Angeles County, California",06,037,482702,,14000US06037482702,0.16,0.24,0.71,0.14,0.04,82917,8556.967
06037482800,Census Tract 4828,"Census Tract 4828, Los Angeles County, California",06,037,482800,,14000US06037482800,0.18,0.21,0.83,0.21,0.08,71401,3701.694
06037500100,Census Tract 5001,"Census Tract 5001, Los Angeles County, California",06,037,500100,,14000US06037500100,0.2,0.2,0.38,0.07,0.03,123021,1263.471
06037500201,Census Tract 5002.01,"Census Tract 5002.01, Los Angeles County, California",06,037,500201,,14000US06037500201,0.19,0.21,0.23,0.06,0.03,114831,2604.6
06037500202,Census Tract 5002.02,"Census Tract 5002.02, Los Angeles County, California",06,037,500202,,14000US06037500202,0.21,0.22,0.41,0.06,0.04,133125,2038.48
06037500300,Census Tract 5003,"Census Tract 5003, Los Angeles County, California",06,037,500300,,14000US06037500300,0.16,0.23,0.36,0.07,0.02,102875,867.8215
06037500402,Census Tract 5004.02,"Census Tract 5004.02, Los Angeles County, California",06,037,500402,,14000US06037500402,0.28,0.1,0.66,0.38,0.05,54375,9414.944
06037500403,Census Tract 5004.03,"Census Tract 5004.03, Los Angeles County, California",06,037,500403,,14000US06037500403,0.23,0.16,0.38,0.2,0.04,82169,4820.216
06037500404,Census Tract 5004.04,"Census Tract 5004.04, Los Angeles County, California",06,037,500404,,14000US06037500404,0.18,0.17,0.53,0.22,0.05,71654,9881.406
06037500500,Census Tract 5005,"Census Tract 5005, Los Angeles County, California",06,037,500500,,14000US06037500500,0.19,0.19,0.47,0.37,0.03,53500,9659.228
06037500600,Census Tract 5006,"Census Tract 5006, Los Angeles County, California",06,037,500600,,14000US06037500600,0.24,0.15,0.55,0.41,0.03,56920,10776.51
06037500700,Census Tract 5007,"Census Tract 5007, Los Angeles County, California",06,037,500700,,14000US06037500700,0.22,0.14,0.44,0.26,0.04,79872,7133.37
06037500800,Census Tract 5008,"Census Tract 5008, Los Angeles County, California",06,037,500800,,14000US06037500800,0.26,0.13,0.54,0.27,0.08,66116,7663.883
06037500900,Census Tract 5009,"Census Tract 5009, Los Angeles County, California",06,037,500900,,14000US06037500900,0.24,0.14,0.53,0.32,0.03,55446,11638.55
06037501001,Census Tract 5010.01,"Census Tract 5010.01, Los Angeles County, California",06,037,501001,,14000US06037501001,0.24,0.13,0.64,0.3,0.03,76067,10199.4
06037501002,Census Tract 5010.02,"Census Tract 5010.02, Los Angeles County, California",06,037,501002,,14000US06037501002,0.22,0.11,0.6,0.12,0.04,100217,8827.098
06037501200,Census Tract 5012,"Census Tract 5012, Los Angeles County, California",06,037,501200,,14000US06037501200,0.25,0.14,0.61,0.15,0.04,96071,8886.929
06037501300,Census Tract 5013,"Census Tract 5013, Los Angeles County, California",06,037,501300,,14000US06037501300,0.24,0.12,0.46,0.12,0.03,76027,9233.018
06037501400,Census Tract 5014,"Census Tract 5014, Los Angeles County, California",06,037,501400,,14000US06037501400,0.21,0.08,0.54,0.22,0.05,43929,8895.97
06037501501,Census Tract 5015.01,"Census Tract 5015.01, Los Angeles County, California",06,037,501501,,14000US06037501501,0.15,0.21,0.46,0.04,0.03,102292,943.5258
06037501503,Census Tract 5015.03,"Census Tract 5015.03, Los Angeles County, California",06,037,501503,,14000US06037501503,0.24,0.09,0.58,0.09,0.02,66053,16991.95
