"","DESCRIPTION","City","County","State","Country","AVG_AADT","AVG_TruckCounts","addr","lat","long","arcgis_address","score","location.x","location.y","extent.xmin","extent.ymin","extent.xmax","extent.ymax"
"18","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",188633,11164,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"19","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",111433,5585,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"20","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",189067,11170,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"21","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",111867,5592,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"22","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",120567,6160,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"23","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",43367,581,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"24","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",257133,16174,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"25","LOS ANGELES/ORANGE COUNTY LINE","LA","Los Angeles County","CA","USA",179933,10596,"LOS ANGELES/ORANGE COUNTY LINE,LA,Los Angeles County,CA,USA",33.78745,-118.11446,"Los Angeles-Orange County State College",93.09,-118.11446,33.78745,-118.11946,33.78245,-118.10946,33.79245
"26","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",135833,8915,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"27","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",47833,3290,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"28","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",83167,5389,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"29","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",43732,2868,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"30","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",278000,18209,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"31","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",190000,12584,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"32","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",225333,14683,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
"33","LOS ANGELES/SAN BERNARDINO COUNTY LINE","LA","Los Angeles County","CA","USA",185899,12162,"LOS ANGELES/SAN BERNARDINO COUNTY LINE,LA,Los Angeles County,CA,USA",34.19801,-118.26102,"Los Angeles County, California",83.97,-118.26102,34.19801,-120.18402,32.27501,-116.33802,36.12101
